Epoch,D_loss,G_loss,D_loss_change_%,G_loss_change_%,D_to_G_ratio
103,-6.7413,-103.7136,2.1254355400696756,7.206827259420967,-0.06499919007728977
104,-7.5523,-98.9392,12.030320561316078,-4.603446413970779,-0.07633273768132348
105,-8.5319,-83.0947,12.970883042252046,-16.014380548862327,-0.10267682535709256
106,-8.008,-97.3446,-6.140484534511669,17.148987841583164,-0.08226445021090023
107,-7.7087,-92.755,-3.7375124875124732,-4.714796711887459,-0.08310818823783085
108,-8.1405,-101.594,5.601463281746577,9.52940542288825,-0.08012776345059748
109,-6.7065,-85.9339,-17.615625575824577,-15.414394550859301,-0.07804254200030489
110,-5.4413,-89.6706,-18.865279952285096,4.3483421560059465,-0.060680981280375065
111,-8.4536,-72.4686,55.35993236910297,-19.183545108430188,-0.1166519016511979
112,-7.0675,-101.0313,-16.39656477713637,39.41389788128929,-0.0699535688445066
113,-6.595,-91.8539,-6.685532366466218,-9.083719599767603,-0.07179880222832127
114,-9.0498,-96.0878,37.2221379833207,4.6093851213721,-0.09418261215263539
115,-10.0235,-83.274,10.759353797874006,-13.335511896411411,-0.12036770180368422
116,-9.1331,-68.7531,-8.88312465705592,-17.43749549679371,-0.1328391010732607
117,-7.0622,-83.3395,-22.674666871051464,21.215625186355226,-0.08474012923043694
118,-8.7019,-84.6253,23.217977400809954,1.5428458294086234,-0.10282858672288311
119,-6.6099,-87.8721,-24.04072673783887,3.836677683860512,-0.07522182808877903
120,-6.0079,-80.5348,-9.10755079501958,-8.34997684134099,-0.07460004867461023
121,-9.9799,-94.4109,66.1129512808136,17.229942832166945,-0.10570707407725169
122,-6.6178,-91.6634,-33.68871431577472,-2.910151264313765,-0.07219675464798382
123,-7.6523,-78.9125,15.632083169633425,-13.910568449348382,-0.09697196261682244
124,-8.8329,-93.24,15.428041242502255,18.156185648661506,-0.09473294723294724
125,-8.2231,-88.0315,-6.903734900202652,-5.586121836121838,-0.0934108813322504
126,-6.7416,-83.4704,-18.01631987936424,-5.1812135428795365,-0.0807663554984761
127,-6.411,-92.1801,-4.903880384478465,10.434477371619156,-0.06954863359879193
128,-7.1973,-83.0656,12.26485727655593,-9.88770895236607,-0.08664597619231065
129,-6.6109,-92.5604,-8.147499756853271,11.430483858540708,-0.07142255219294644
130,-7.1617,-90.0937,8.331694625542664,-2.6649625541808386,-0.07949168476819134
131,-10.1847,-72.8646,42.210648309758845,-19.123534719963775,-0.13977569354666053
132,-6.0199,-88.9319,-40.892711616444274,22.050899888285947,-0.06769112095884604
133,-11.7424,-73.8511,95.05971859997675,-16.957694595527585,-0.1590010169110548
134,-7.893,-91.1724,-32.782054775855016,23.454356130105026,-0.08657225212893375
135,-8.5734,-84.5431,8.620296465222355,-7.2711697838380935,-0.1014086306274551
136,-7.3979,-84.8871,-13.711013133645922,0.4068930521828662,-0.08714987318450035
137,-6.7653,-88.6623,-8.551075305154166,4.447318850567394,-0.07630413377500922
138,-7.2797,-86.4659,7.60350612685321,-2.477264857780581,-0.08419157147499766
139,-7.5276,-73.8086,3.4053601109935716,-14.638487542487855,-0.1019881152060871
140,-7.5512,-81.3325,0.3135129390509528,10.193798554639976,-0.09284357421694894
141,-6.1269,-70.914,-18.861902743934735,-12.809762395106505,-0.08639901852948642
142,-7.2899,-80.189,18.9818668494671,13.079222720478324,-0.09090897754056043
143,-5.8572,-79.6839,-19.653218837021093,-0.6298868922171352,-0.07350543836333312
144,-6.4605,-68.4641,10.300143413234997,-14.080385121712158,-0.09436332325992745
145,-9.0148,-66.3658,39.53718752418543,-3.0648179118691554,-0.13583502346087895
146,-7.4308,-69.6653,-17.57110529351732,4.971687224443921,-0.10666429341436841
147,-8.3867,-79.5081,12.86402540776228,14.128698218481794,-0.10548233450428321
148,-8.7021,-66.3043,3.760716372351469,-16.606861439274745,-0.13124488155368505
149,-6.8324,-80.3555,-21.48561841394606,21.191989056516714,-0.08502716055528245
150,-6.4118,-70.7894,-6.155962765646028,-11.904723385455885,-0.09057570766244664
151,-6.9202,-75.5559,7.929130665335782,6.733352733601339,-0.09159046480817515
152,-7.7321,-69.5305,11.73231987514811,-7.974757762133722,-0.11120443546357353
153,-7.1394,-72.3539,-7.665446644507956,4.060664025140026,-0.09867332652420949
154,-8.2081,-69.3507,14.969045017788595,-4.150709222308668,-0.11835641168726486
155,-7.3103,-58.298,-10.937975901853047,-15.937402218002127,-0.12539538234587808
156,-10.0343,-56.8231,37.26249264736057,-2.529932416206393,-0.17658839450857136
157,-8.2722,-73.6353,-17.560766570662633,29.586910956987577,-0.11234014120944709
158,-8.4266,-73.9561,1.8664925896375806,0.435660613863198,-0.11394056744474086
159,-8.4123,-67.1893,-0.1697007096575165,-9.14975235308515,-0.12520297130644314
160,-7.1435,-72.2711,-15.082676556946373,7.563406673383999,-0.09884310602716716
161,-7.8616,-67.642,10.0524952754252,-6.40518824260321,-0.1162236480293309
162,-6.7647,-77.3177,-13.952630507784669,14.304278406906956,-0.08749225597760926
163,-8.6484,-68.5238,27.846024213934093,-11.373721670458393,-0.12621016347604774
164,-7.0508,-67.4201,-18.472781092456415,-1.6106812523531855,-0.1045800881339541
165,-8.7049,-59.3574,23.459749248312267,-11.958896530856533,-0.14665231293823516
166,-6.2412,-70.9518,-28.302450344059093,19.533200578192456,-0.0879639417181805
167,-8.9346,-43.6664,43.15516246875599,-38.456247762565575,-0.20461040983456386
168,-6.3091,-63.2655,-29.38575873570165,44.883709213491386,-0.099724178264615
169,-8.0237,-71.9008,27.17661790112693,13.649303332780116,-0.11159402955182696
170,-7.5742,-69.1423,-5.60215361990104,-3.836535893898252,-0.10954509757413335
171,-9.4808,-58.6745,25.172295423939172,-15.13950215714549,-0.1615829704556494
172,-8.5766,-65.6053,-9.537169859083638,11.812286427664475,-0.1307302916075378
173,-6.2119,-53.3923,-27.571531842455045,-18.61587402237319,-0.11634449162145104
174,-12.191,-48.2787,96.2523543521306,-9.577410974990775,-0.2525130129850224
175,-7.3178,-51.7777,-39.97375112788123,7.247502521816052,-0.1413311135875097
176,-8.5198,-54.0574,16.42570171362978,4.4028606909924495,-0.15760654415491682
177,-7.533,-50.3774,-11.58243151247681,-6.807578610883991,-0.14953133746481556
178,-4.9511,-60.8844,-34.27452542147883,20.85657457510708,-0.08131968123197404
179,-7.8259,-56.1016,58.063864595746395,-7.855542634894985,-0.1394951302636645
180,-10.1065,-48.6776,29.14169616274167,-13.233134170861439,-0.2076211645602906
181,-7.9741,-46.3926,-21.099292534507498,-4.694150903084782,-0.1718830158257998
182,-9.1288,-48.9156,14.480631043001724,5.438367325823501,-0.18662349025668704
183,-7.2543,-61.2497,-20.533914643764795,25.21506431486069,-0.1184381311255402
184,-8.2137,-51.3899,13.225259501261322,-16.097711498995093,-0.1598310173789013
185,-8.5137,-55.0799,3.6524343474926058,7.18039926133347,-0.15456999740377161
186,-8.9394,-55.5493,5.000176186616856,0.8522165072921251,-0.16092732041627886
187,-8.279,-50.4677,-7.38752041524039,-9.14791005467216,-0.1640455182225463
188,-9.0895,-53.8324,9.789829689576024,6.667036540202931,-0.16884812863628595
